Date,Close,Volume,Open,High,Low
2018-11-09,70.1,25467280,69.8,70.8,69.046
2018-11-08,70.28,35401015,69.7,71.5151,69.688
2018-11-07,69.63,36833530,68.668,70.236,68.16
2018-11-06,68.21,33759650,67.814,69.76,67.218
2018-11-05,68.28,39104225,68.1,68.791,66.028
2018-11-02,69.28,38999600,68.748,69.84,68.182
2018-11-01,68.86,39904730,67.652,69.568,66.945
2018-10-31,67.46,38004200,66.508,68.4,65.82
2018-10-30,65.98,45545600,65.678,67.58,64.452
2018-10-29,66.97,72275750,67.494,69.432,65.3
2018-10-26,66.18,136901100,61.65,67.98,61.33
2018-10-25,62.97,103858350,63.443999999999996,64.2,60.202
2018-10-24,57.7,96752250,60.21,60.888000000000005,57.146
2018-10-23,58.83,94781050,52.773999999999994,59.586000000000006,52.42
2018-10-22,52.19,27974275,52.136,52.372,50.518
2018-10-19,52.0,46723820,53.478,53.931999999999995,50.7
2018-10-18,52.78,27009355,53.858000000000004,54.2,52.6
2018-10-17,54.36,43184745,56.48,56.54,53.1606
2018-10-16,55.32,47505600,53.14,55.475,52.448
2018-10-15,51.92,30945130,51.812,52.656000000000006,50.9073
2018-10-12,51.76,35946285,52.2,52.398,50.402
2018-10-11,50.45,40640920,51.506,52.45,49.806000000000004
2018-10-10,51.38,63907800,52.922,53.102,49.553999999999995
2018-10-09,52.56,60188900,51.05,53.354,50.66
2018-10-08,50.11,66855900,52.903999999999996,53.552,49.8
2018-10-05,52.39,89503550,54.93,54.976000000000006,52.0
2018-10-04,56.37,48194425,58.79,58.8,55.534
2018-10-03,58.96,39911360,60.666000000000004,60.92,58.31399999999999
2018-10-02,60.2,58498450,62.79,63.368,59.83
2018-10-01,62.14,108571050,61.153999999999996,62.288000000000004,60.21
2018-09-28,52.95,167986450,54.052,55.6,52.111000000000004
2018-09-27,61.5,36688800,62.58,62.992,61.382
2018-09-26,61.92,39179315,60.382,62.778,60.2219
2018-09-25,60.2,22361435,60.0,60.92,59.3
2018-09-24,59.94,24171920,59.696000000000005,60.5999,58.716
2018-09-21,59.82,25192485,59.54,60.11600000000001,59.074
2018-09-20,59.67,36662385,60.711999999999996,61.196000000000005,58.666000000000004
2018-09-19,59.8,41321765,56.102,60.0,56.1
2018-09-18,56.99,82471400,59.338,60.528,55.1
2018-09-17,58.97,34331040,58.008,60.174,57.626000000000005
2018-09-14,59.04,33788260,57.751999999999995,59.4651,57.303999999999995
2018-09-13,57.89,31666405,57.604,59.0,57.036
2018-09-12,58.11,50010750,56.288000000000004,58.5,55.7293
2018-09-11,55.89,45805305,55.894,56.4,54.71
2018-09-10,57.1,71161250,54.652,57.206,54.2
2018-09-07,52.65,112211550,52.02,53.67,50.451
2018-09-06,56.19,37363780,56.96,58.233999999999995,55.776
2018-09-05,56.15,38536710,57.01,57.356,55.43600000000001
2018-09-04,57.79,41522855,59.388000000000005,59.638000000000005,57.6
2018-08-31,60.33,26835240,60.4,61.0616,59.72
2018-08-30,60.63,36053125,60.452,60.92,59.544
2018-08-29,61.0,37052690,62.053999999999995,62.37,60.738
2018-08-28,62.37,38197265,63.681999999999995,63.776,62.238
2018-08-27,63.85,65313250,63.6,64.487,61.762
2018-08-24,64.56,17963670,64.14,64.77,63.88
2018-08-23,64.02,25693425,63.828,65.464,63.62
2018-08-22,64.33,29679265,64.17399999999999,64.77600000000001,62.934
2018-08-21,64.38,65738850,62.122,64.958,61.8
2018-08-20,61.69,86902150,58.3408,61.7,57.64
2018-08-17,61.1,94479400,64.7,65.354,60.706
2018-08-16,67.09,30226960,67.982,68.456,66.764
2018-08-15,67.74,45365165,68.3812,68.898,66.428
2018-08-14,69.53,34742555,71.69,71.8399,69.42
2018-08-13,71.28,52224600,72.226,72.638,69.804
2018-08-10,71.1,57652550,70.8,72.0,69.2
